Number,Alternate Numbering,General Doc Type,C&E Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 1702,HCM 1702,QUITCLAIM,QUITCLAIM,"Gloucester, Gloucestershire",Documented,1304-04-15T00:00:00Z,,"1504,  April 15.",,Gloucester.,"1304, QUITCLAIM","1504, April 15., CUITCLAIN"
HCM 946,HCM 946,QUITCLAIM,QUITCLAIM,"Hereford, Herefordshire",Documented,1305-06-01T00:00:00Z,,"1305,  Tuesday next after the Feast of the Ascension of our Lord [June 1].",,Hereford,,"1305, Tuesday next after the Feast of the Ascension of our Lord [June 1]., QUITCLAIM"
RBLR 0907,"RBLR 0907, HCM 1733",QUITCLAIM,QUITCLAIM,"Hereford, Herefordshire",Documented,1309-12-06T00:00:00Z,,1309.12.6,,Hereford,HCM 1733|MISSING,"1309.12.6, QUITCLAIM"
HCM 1657,HCM 1657,QUITCLAIM,QUITCLAIM,"Standish, Gloucestershire",Documented,1311-01-23T00:00:00Z,,"1310/11,  Saturday next before the Feast of the Conversion of St. Paul the Apostle [January 23]",,Stanedichss,,"1310/11, Saturday next before the Feast of the Conversion of St. Paul the Apostle [January 23], QUITCLAIM"
HCM 1658,HCM 1658,QUITCLAIM,QUITCLAIM,London,Documented,1316-01-18T00:00:00Z,,"1315/6,  January 18",,London,,"1315/6, January 18, QUITCLAIM"
HCM 1720,HCM 1720,QUITCLAIM,QUITCLAIM,"Clifford Chambers, Warwickshire",Documented,1321-02-01T00:00:00Z,,"1320/1,  Sunday,  the vigil of the Feast | of the reo of the blessed Virgin Mary (February 1\",,Clifford Chaumberers,,"1320/1, Sunday, the vigil of the Feast | of the reo of the blessed Virgin Mary (February 1\, QUITCLAIM"
HCM 2097,HCM 2097,QUITCLAIM,QUITCLAIM,"Hereford, Herefordshire",Documented,1321-02-08T00:00:00Z,,"1320/1,  Sunday next after the Feast of the Purification of the Virgin Mary |February 8",,Hereford,,"1320/1, Sunday next after the Feast of the Purification of the Virgin Mary |February 8, QUITCLAIM"
HCM 1799,HCM 1799,QUITCLAIM,QUITCLAIM,"Ledbury, Herefordshire",Suggested,1326-05-12T00:00:00Z,,"1326,  Monday next after the Feast of St. John ante portem latinam (May 12).",,,"QUITCLAIM of lands in HCM 1798, same witnesses","1326, Monday next after the Feast of St. John ante portem latinam (May 12)., ‘ Seen"
HCM 409,HCM 409,QUITCLAIM,QUITCLAIM,"Hereford, Herefordshire",Documented,1327-06-29T00:00:00Z,,"1327,  Monday the Feast of the Passion of tie Apostles Peter and Paul (June 29]",,Hereford,,"1327, Monday the Feast of the Passion of tie Apostles Peter and Paul (June 29], QUITCLAIM"
HCM 1803,HCM 1803,QUITCLAIM,QUITCLAIM,"Ledbury, Herefordshire",Documented,1333-03-17T00:00:00Z,,"1332/3,  Cotuantay went ter the Feast ,   of St. Gregory the Pope |March 17].",,Ledbury,,"1332/3, Cotuantay went ter the Feast ,  of St. Gregory the Pope |March 17]., QUITCLAIM"
HCM 2095,HCM 2095,QUITCLAIM,QUITCLAIM,"Hereford, Herefordshire",Documented,1343-03-16T00:00:00Z,,"1342/3,  Sunday next after the Feast of St. Gregory the Pope [March 16]",,Hereford,,"1342/3, Sunday next after the Feast of St. Gregory the Pope [March 16], QUITCLAIM"
HCM 1687,HCM 1687,QUITCLAIM,QUITCLAIM,"Gloucester, Gloucestershire",Documented,1346-12-27T00:00:00Z,,"1346,  Wednesday,  the Feast of St. John the Evoengelist (December 27)",,Gloucester.,,"1346, Wednesday, the Feast of St. John the Evoengelist (December 27), QUITCLAIM"
RBLR 1906,RBLR 1906,QUITCLAIM,REMISSION OF CLAIM TO ANNUITY (CONDITIONAL),"Avignon, residence of Adam de Orleton",Documented,1319-05-06T00:00:00Z,,1319.5.6,,Avinione in hospicio quod tunc temporis inhabitavit venerabilis pater predictus,"Remission (of pension, when he obtains benfice)|Project RBLR Completion","1319.5.6, REMISSIO"
RBLR 1802,RBLR 1802,QUITCLAIM,WITHDRAWAL OF CLAIMS FOR DILAPIDATIONS,"Bosbury Palace Bishop's Manor, Herefordshire",Documented,1318-02-06T00:00:00Z,,1318.2.6,,Bosebury,Remission of claim,"1318.2.6, REMISSIO"
RBLR 2603,RBLR 2603,QUITTANCE,ACQUITTANCE,"Hereford, Herefordshire",Documented,1326-11-17T00:00:00Z,,1326.11.17,cf RBLR 2801-em,Lamhethe,embedded doc lambeth 2 kal august 1320,"RBLR 2603, 1326.11.17, Final settlement, ijº Kal. Augusti, anno Domini M°CCC°xx"
HCM 64,HCM 64,QUITTANCE,ACQUITTANCE,"Hereford, Herefordshire",Documented,1333-08-23T00:00:00Z,,"1333,  August 23.",,Hereford,,"1333, August 23., ACQUITTANCE"
RBLR 4808,RBLR 4808,QUITTANCE,ACQUITTANCE,"Mayfield, East Sussex, The Old Palace",Documented,1348-07-06T00:00:00Z,,1348.7.6,,Maghfelde,,"1348.7.6, Acquittance"
RBLR 4810,RBLR 4810,QUITTANCE,ACQUITTANCE,"Hereford, Herefordshire",Suggested,1348-12-01T00:00:00Z,,1348.12.1 [*],,,audit by RB of Bp of H's accounts,"1348.12.1 [*], Acquittance"
RBLR 2101,RBLR 2101,QUITTANCE,LETTER FREEING FROM LIABILITY,"Shinfield, Berkshire",Documented,1321-02-01T00:00:00Z,,1321.2.1,,Shenyngfeld,LETTERS,"1321.2.1, LITTERA"
HCM 1434,HCM 1434,QUITTANCE,LETTER OF QUITTANCE,"Hereford Cathedral, Chapter House",Documented,1323-10-15T00:00:00Z,,1323s Saturday next after the feast o f Saint Qionysius [October 1$],,the chapter-house at Hereford,,added manually
RBLR 2202,RBLR 2202,QUITTANCE,LETTERS OF ACQUITTANCE,"Prestbury Moat Bishop's Manor, Gloucestershire",Suggested,1322-03-19T00:00:00Z,,1322.3.19,,quod,,"1322.3.19, letters freeing him from liability, Memorandum"
HCM 2565,HCM 2565,QUITTANCE,QUITTAICE,"York, Yorkshire",Documented,1302-05-03T00:00:00Z,,"1302,  Tuesday next after the Quindene of Easter [May 3].",,York,QUITTANCE,"1302, Tuesday next after the Quindene of Easter [May 3]., QUITTAICE"
HCM 2215,HCM 2215,QUITTANCE,QUITTANCE,RESEARCH,Uncertain,1294-08-28T00:00:00Z,,"1294, August 28",,,doc involves Frescobaldi (based in London?) & St Peter's Glouceser,"1294, August 28,, QUIZTANCE"
HCM 2539,HCM 2539,QUITTANCE,QUITTANCE,London,Documented,1295-06-06T00:00:00Z,,"1295,  Monday next after the Octave of the Trinity June 6)",,London,,"1295, Monday next after the Octave of the Trinity June 6), QUITTANCE"
HCM 2652,HCM 2652,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1296-05-07T00:00:00Z,,"1296,  Monday next after the Feast of | the Invention of the Holy Cross {May 7].",,Hereford,,"1296, Monday next after the Feast of | the Invention of the Holy Cross {May 7]., QUITTANCE f"
HCM 2744,HCM 2744,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1296-11-24T00:00:00Z,,"1296,  the day after the Feast of St. Clement |Nov. 24)",,tereford,,"1296, the day after the Feast of St. Clement |Nov. 24), QUITTANCE"
HCM 2543,HCM 2543,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1297-05-04T00:00:00Z,,"1297,  seereet the day after the Feast of the Invention of the Holy Crogs {May 4",,Hereford,,"1297, seereet the day after the Feast of the Invention of the Holy Crogs {May 4, QUITTANCE"
HCM 2544,HCM 2544,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1297-05-07T00:00:00Z,,"1297,  Tuesday on the morrow of St. John ante vortem Jatinam iMey 7).",,Hereford,,"1297, Tuesday on the morrow of St. John ante vortem Jatinam iMey 7)., QUITTANCE f"
HCM 2545,HCM 2545,QUITTANCE,QUITTANCE,London,Documented,1297-05-11T00:00:00Z,,"1297,  Saturdey next sfter the Feast of St. John ante vortem Latinam LMay 11j",,London,,"1297, Saturdey next sfter the Feast of St. John ante vortem Latinam LMay 11j, QUITTANCE"
HCM 2701,HCM 2701,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1297-07-22T00:00:00Z,,"1297,  Thursday,  the day efter the Feast of the Sevén Brothers Mortyrs (July 22]",,Hereford,,"1297, Thursday, the day efter the Feast of the Sevén Brothers Mortyrs (July 22], QUITTANCE"
HCM 2702,HCM 2702,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1297-09-06T00:00:00Z,,"1297,  Friday next before the Feast of the Nativity of the Blessed ,  Virgin] Mary LSept. 6]",,Hereford,,"1297, Friday next before the Feast of the Nativity of the Blessed , Virgin] Mary LSept. 6], QUITTANCE"
HCM 2546,HCM 2546,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1297-09-07T00:00:00Z,,"1297,  Gaturday next before the Feast of the Nativity of the Blessed Mary Sept. 7",,Hereford,QUITTANCE,"1297, Gaturday next before the Feast of the Nativity of the Blessed Mary Sept. 7, Q@UITTANCE"
HCM 2547,HCM 2547,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1297-10-18T00:00:00Z,,"1297,  the Feast of Ste Luke the Evangelist LOct. 18).",,Hereford,,"1297, the Feast of Ste Luke the Evangelist LOct. 18)., QUITTANCE"
HCM 2654,HCM 2654,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1298-10-11T00:00:00Z,,"1298,  in the Feast of St. luke the ,   Evangelist .Oct. 18].",,Hereford,,"1298, in the Feast of St. luke the ,  Evangelist .Oct. 18]., QUITTANCE"
HCM 2703,HCM 2703,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1299-04-26T00:00:00Z,,"1299,  Sunday,  the day after the Feast of Ste Mark the Evangelist | April 26].",,Hereford,,"1299, Sunday, the day after the Feast of Ste Mark the Evangelist | April 26]., QUITTANCE"
HCM 2554,HCM 2554,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1299-10-10T00:00:00Z,,"1299,  Saturday next after the Feast of St. Monysius { October 10].",,Hereford,,"1299, Saturday next after the Feast of St. Monysius { October 10]., QUITTANCE"
HCM 2745,HCM 2745,QUITTANCE,QUITTANCE,"Hereford, residence of Richard the Young",Documented,1299-10-11T00:00:00Z,,"1299,  Sunday next after the Feast of St Sionysius LOct. 11].",,Hereford in the house of sgainus Richard the young,,"1299, Sunday next after the Feast of St Sionysius LOct. 11]., QUITTANCE"
HCM 2556,HCM 2556,QUITTANCE,QUITTANCE,"York, Yorkshire",Documented,1299-10-15T00:00:00Z,,"1299,  in the Feast of St. Iuke the Evangelist | October 15].",,York,QUITTANCE,"1299, in the Feast of St. Iuke the Evangelist | October 15]., QITTANCE"
HCM 2559,HCM 2559,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1300-06-25T00:00:00Z,,"1300,  Saturday,  on the morrow of the Feast of st. John the Baptist (June 25]",,Hereford,,"1300, Saturday, on the morrow of the Feast of st. John the Baptist (June 25], QUITTANCE"
HCM 2560,HCM 2560,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1300-10-24T00:00:00Z,,"1300,  Monday,  the day after the Teast of ste Romanus,  bishop October 24]",,Hereford,QUITTANCE,"1300, Monday, the day after the Teast of ste Romanus, bishop October 24], Q@UITLANCE"
HCM 2561,HCM 2561,QUITTANCE,QUITTANCE,"York, Yorkshire",Documented,1301-01-20T00:00:00Z,,"1300/1,  Jane 20",,York,QUITTANCE,"1300/1, Jane 20, QITTANCE"
HCM 2704,HCM 2704,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1301-02-12T00:00:00Z,,"1300/1,  the day before the Ides of February | Feb. 12].",,Hereford,,"1300/1, the day before the Ides of February | Feb. 12]., QUITTANCE"
HCM 2562,HCM 2562,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1301-04-10T00:00:00Z,,"1301,  Monday next before the Yeast of St. Guthlac | April 10}",,Hereford,,"1301, Monday next before the Yeast of St. Guthlac | April 10}, QUITTANCE"
HCM 2747,HCM 2747,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1301-10-03T00:00:00Z,,"1301,  the day after the Feast of St. Leodegar LOcte 3].",,Hereford,,"1301, the day after the Feast of St. Leodegar LOcte 3]., QUITTANCE"
HCM 2869,HCM 2869,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1301-10-03T00:00:00Z,,"1301,  Tuesday,  the day after the Feast of St. Leodegar (Oct. 3].",,Hereford,,"1301, Tuesday, the day after the Feast of St. Leodegar (Oct. 3]., QUITTANCE"
HCM 2569,HCM 2569,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Suggested,1302-03-25T00:00:00Z,,"1302,  cireg March 25.",approx,,D&C of H to clerk of D&C of H,"1302, cireg March 25., QUITTANCE"
HCM 2705,HCM 2705,QUITTANCE,QUITTANCE,Hereford Cathedral,Documented,1302-05-06T00:00:00Z,,"1302,  Sunday next after the Feast of the Invention of the Holy Cross | May 6]",,greater church of Hereford,,"1302, Sunday next after the Feast of the Invention of the Holy Cross | May 6], QUITTANCE"
HCM 2564,HCM 2564,QUITTANCE,QUITTANCE,"York, Yorkshire",Documented,1302-05-08T00:00:00Z,,"1302,  Tyeptag next after the Quindene of Raster (May 8).",,York,,"1302, Tyeptag next after the Quindene of Raster (May 8)., QUITTANCE"
HCM 2566,HCM 2566,QUITTANCE,QUITTANCE,"York, Yorkshire",Documented,1302-07-03T00:00:00Z,,"1302,  Tuesday next after the Feast of st. Swithin |July 3]",,York,,"1302, Tuesday next after the Feast of st. Swithin |July 3], QUITTANCE"
HCM 2567,HCM 2567,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1302-09-22T00:00:00Z,,"1302,  the day after the Feast of St. Matthew the Apostle | September 22",,Hereford,,"1302, the day after the Feast of St. Matthew the Apostle | September 22, QUITTANCE"
HCM 2746,HCM 2746,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1302-09-30T00:00:00Z,,"1302,  Saturday,  the Feast of St. Jerome Sept. 30",,Hereford,,"1302, Saturday, the Feast of St. Jerome Sept. 30, QUITTANCE"
HCM 2568,HCM 2568,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1302-10-01T00:00:00Z,1302-10-31T00:00:00Z,"1302,  Oetober",,Hereford,only month given,"1302, Oetober,, QUITTANCE"
HCM 2706,HCM 2706,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1302-10-10T00:00:00Z,,1902 the day after the Feast of St. .   D nysius LOecte 10j,,Hereford,"1302, Oct 10","1902 the day after the Feast of St. .   D nysius LOecte 10j, QUITTANCE"
HCM 2659,HCM 2659,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1302-10-28T00:00:00Z,,"1302,  in the Feast of Simon and Judas : the Apostles LOct. 28)",,Hereford,,"1302, in the Feast of Simon and Judas : the Apostles LOct. 28), QUITTANCE"
HCM 2572,HCM 2572,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1303-04-01T00:00:00Z,,"1303,  Monday next after the Feast of the Annunciation | April 1].",,Hereford,,"1303, Monday next after the Feast of the Annunciation | April 1]., QUITTANCE"
HCM 2707,HCM 2707,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1303-04-27T00:00:00Z,,"1503,  Saturday next before the Feast of Philip and James the Apostles |April 27].",,Hereford,1303,"1503, Saturday next before the Feast of Philip and James the Apostles |April 27]., QUITTANCE"
HCM 2573,HCM 2573,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1303-05-04T00:00:00Z,,"1503,  Saturday,  on the morrow of the .   . Invention of the Holy Cross [May 4]",,Heref ’,1303,"1503, Saturday, on the morrow of the .   . Invention of the Holy Cross [May 4], QUITTANCE"
HCM 2708,HCM 2708,QUITTANCE,QUITTANCE,London,Documented,1303-07-10T00:00:00Z,,"1303, July 10",,London,,"1303, July 10,, QUITTANCE"
HCM 2574,HCM 2574,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1303-10-12T00:00:00Z,,"1303,  Saturday,  the Feast of St. .   Wilfrid,  bishop [Oet. 12|",,Hereford,,"1303, Saturday, the Feast of St. .   Wilfrid, bishop [Oet. 12|, QUITTANCE"
HCM 2709,HCM 2709,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1303-10-20T00:00:00Z,,"1303,  Sunday,  the day after the |  Yeast of St. Preteseida (Oct,  20",,Hereford,,"1303, Sunday, the day after the |  Yeast of St. Preteseida (Oct, 20, QUITLANCE"
HCM 2575,HCM 2575,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1304-01-12T00:00:00Z,,"1303/4,  Sunday within the Octave of Bpiphany {January 12)",,Hereford,QUITTANCE,"1303/4, Sunday within the Octave of Bpiphany {January 12),, WIfTANCE"
HCM 2577,HCM 2577,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1304-04-18T00:00:00Z,,"1304,  Saturday next before the Feast of St. George,  martyr [April 18",,Hereford,,"1304, Saturday next before the Feast of St. George, martyr [April 18, QUITTANCE"
HCM 2662,HCM 2662,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1304-07-25T00:00:00Z,,"1304,  the Feast of St. James the ,   Apostle fouiy 25/6",,Hereford,July 25,"1304, the Feast of St. James the ,  Apostle fouiy 25/6, QUITTANCE"
HCM 2711,HCM 2711,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1304-10-03T00:00:00Z,,"13: Satur after the Feast ,   . of st,  itichael. foot. 3].",,Hereford,"1304, October 3, QUITTANCE","13: Satur after the Feast ,  . of st, itichael. foot. 3]., CUITTANCE"
HCM 2576,HCM 2576,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1305-01-31T00:00:00Z,,"1305,  May 13, 1303/4,  Friday,  the subvigil of the Feast of the rurification of the Blessed Mary |January 31)",,London,"OCR error (this doc = Hereford, 1301, NOT London 1305--THAT data appears to be HCM 2578, which is MISSING in OpenRefine & need ADDING)","1305, May 13, QUITTANCE, 1303/4, Friday, the subvigil of the Feast of the rurification of the Blessed Mary |January 31), QUITTANCE"
HCM 2664,HCM 2664,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1305-03-31T00:00:00Z,,"1305,  2 Kal. April [March 31]",,Hereford,,"1305, 2 Kal. April [March 31], QUITTANCE"
HCM 2580,HCM 2580,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1305-08-24T00:00:00Z,,"1305,  in the Feast of Ste Bartholomew the Apostle [August 24]",,Hereford,,"1305, in the Feast of Ste Bartholomew the Apostle [August 24], QUITTANCE"
HCM 2581,HCM 2581,QUITTANCE,QUITTANCE,London,Documented,1305-09-29T00:00:00Z,,"1305,  in the Feast of St. Michael [September 29]",,London,,"1305, in the Feast of St. Michael [September 29], QUITTANCE"
HCM 2712,HCM 2712,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1305-10-06T00:00:00Z,,1305 the Feast of St. Faith the Virgin [Oct. 6].,,Hereford,,"1305 the Feast of St. Faith the Virgin [Oct. 6]., QUITTANCE"
HCM 2666,HCM 2666,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1305-10-09T00:00:00Z,,"1305,  in the Feast of St. Dionysius [Oct. 9].",,Hereford,,"1305, in the Feast of St. Dionysius [Oct. 9]., QUITTANCE"
HCM 2713,HCM 2713,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1306-03-29T00:00:00Z,,"1306,  Tuesday next after the Feats of the Annunciation [March 29]",,Hereford,,"1306, Tuesday next after the Feats of the Annunciation [March 29], QUITTANCE"
HCM 2668,HCM 2668,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1306-04-01T00:00:00Z,1306-04-30T00:00:00Z,"1306, April",approx,Hereford,only month given,"1306, April, QUITTANCE"
HCM 2714,HCM 2714,QUITTANCE,QUITTANCE,London,Documented,1306-04-28T00:00:00Z,,"1306,  Thursday next after the Feast of St. Mark [April 28].",,London,,"1306, Thursday next after the Feast of St. Mark [April 28]., QUITTANCE"
HCM 2669,HCM 2669,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1306-05-15T00:00:00Z,,"1306,  Sunday next before the Feast of St. Ethelbert,  king and martyr [May 15]",,Hereford,,"1306, Sunday next before the Feast of St. Ethelbert, king and martyr [May 15], QUITTANCE"
HCM 2583,HCM 2583,QUITTANCE,QUITTANCE,"Hennor, Leominster, Herefordshire",Documented,1306-06-10T00:00:00Z,,"1306,  Friday next before the Feast of St. Barnabas the Apostle [June 10]",,Henouere,,"1306, Friday next before the Feast of St. Barnabas the Apostle [June 10], QUITTANCE"
HCM 2584,HCM 2584,QUITTANCE,QUITTANCE,"Hennor, Leominster, Herefordshire",Documented,1306-10-06T00:00:00Z,,"1306,  Thursday next after the Feast of St. Michael [October 6]",,Henouere,,"1306, Thursday next after the Feast of St. Michael [October 6], QUITTANCE"
HCM 2670,HCM 2670,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1306-10-15T00:00:00Z,,"1306,  Saturday,  the day after the Feast of St. Kalixtus [October 15]",,Hereford,,"1306, Saturday, the day after the Feast of St. Kalixtus [October 15], QUITTANCE"
HCM 2748,HCM 2748,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1306-10-15T00:00:00Z,,"1306,  Saturday,  the day after the Feast of St. Kalixtus [October 15]",,Hereford,,"1306, Saturday, the day after the Feast of St. Kalixtus [October 15]., QUITTANCE"
HCM 2585,HCM 2585,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1306-12-18T00:00:00Z,,"1306,  Sunday next before the Feast of St. Thomas the Apostle [Dec. 18]",,Hereford,,"1306, Sunday next before the Feast of St. Thomas the Apostle [Dec. 18], QUITTANCE"
HCM 2870,HCM 2870,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1306-12-20T00:00:00Z,,"1306,  Tuesday next after the Feast of St. Lucia the Virgin [Dec. 20]",,Hereford,,"1306, Tuesday next after the Feast of St. Lucia the Virgin [Dec. 20], QUITTANCE"
HCM 2717,HCM 2717,QUITTANCE,QUITTANCE,"London, St Paul's Cathedral",Documented,1307-01-16T00:00:00Z,,"1306/7,  January 16",,St. Paul's London,,"1306/7, January 16, QUITTANCE"
HCM 2586,HCM 2586,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1307-03-10T00:00:00Z,,"1306/7,  Friday next before the Feast of St. Gregory,  pope [March 10]",,Hereford,,"1306/7, Friday next before the Feast of St. Gregory, pope [March 10], QUITTANCE"
HCM 2588,HCM 2588,QUITTANCE,QUITTANCE,"Hennor, Leominster, Herefordshire",Suggested,1307-03-25T00:00:00Z,,"[1307],  circa March 25",approx,Henouere,see HCM 2584,"[1307], circa March 25, QUITTANCE"
HCM 2718,HCM 2718,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1307-04-01T00:00:00Z,1307-04-30T00:00:00Z,"1307,  April.",,Hereford,only month given,"1307, April., QUITTANCE"
HCM 2589,HCM 2589,QUITTANCE,QUITTANCE,"Hennor, Leominster, Herefordshire",Suggested,1307-09-29T00:00:00Z,,"[1307],  circa September 29",approx,Henouere,see prev,"[1307], circa September 29, QUITTANCE"
HCM 2671,HCM 2671,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1307-10-01T00:00:00Z,1307-10-31T00:00:00Z,"1307,  October.",approx,Hereford,only month given,"1307, October., QUITTANCE"
HCM 2719,HCM 2719,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1307-10-01T00:00:00Z,1307-10-31T00:00:00Z,"1307,  October.",,Hereford,only month given,"1307, October., QUITTANCE"
HCM 2749,HCM 2749,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1307-10-31T00:00:00Z,,1307-10-01T00:00:00Z,,Hereford,,QUITTANCE
HCM 2750,HCM 2750,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Suggested,1307-11-03T00:00:00Z,,"1307,  Friday next after All Souls’ Day [Nov. 3]",,Hereford,organ-keeper to D&C,"1307, Friday next after All Souls’ Day [Nov. 3], QUITTANCE"
HCM 2590,HCM 2590,QUITTANCE,QUITTANCE,"Hennor, Leominster, Herefordshire",Suggested,1308-03-25T00:00:00Z,,"[1308],  circa March 25",approx,Henouere,,"[1308], circa March 25, QUITTANCE"
HCM 2592,HCM 2592,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1308-04-02T00:00:00Z,,"1308, April 2",,Hereford,,"1308, April 2, QUITTANCE"
HCM 2673,HCM 2673,QUITTANCE,QUITTANCE,London,Documented,1308-07-12T00:00:00Z,,"1308, July 12",,London,,"1308, July 12, QUITTANCE"
HCM 2721,HCM 2721,QUITTANCE,QUITTANCE,London,Documented,1309-12-03T00:00:00Z,,"1309, December 3",,London,prob issued at London St Pauls like HCM 2717,"1309, December 3, QUITTANCE"
HCM 2596,HCM 2596,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1310-09-02T18:09:24Z,,1310-09-03T00:00:00Z,,Hereford,,QUITTANCE
HCM 2597,HCM 2597,QUITTANCE,QUITTANCE,London,Documented,1310-10-20T00:00:00Z,,"[1310],  October 20",,London,,"[1310], October 20, QUITTANCE"
HCM 2722,HCM 2722,QUITTANCE,QUITTANCE,London,Documented,1311-02-03T00:00:00Z,,"1310/11,  February 3.",,London,prob issued at London St Pauls like HCM 2717,"1310/11, February 3., QUITTANCE"
HCM 2675,HCM 2675,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Documented,1311-07-21T00:00:00Z,,"1311,  in the Feast of St. Praxedes,  Virgin [July 21].",,Hereford,,"1311, in the Feast of St. Praxedes, Virgin [July 21]., QUITTANCE"
HCM 2598,HCM 2598,QUITTANCE,QUITTANCE,London,Documented,1312-01-27T00:00:00Z,,"1311/2,  Jan. 27",,London,,"1311/2, Jan. 27, QUITTANCE"
HCM 2599,HCM 2599,QUITTANCE,QUITTANCE,London,Documented,1312-05-20T00:00:00Z,,"1312,  13 Kal. June [May 20]",,London,,"1312, 13 Kal. June [May 20], QUITTANCE"
HCM 2875,HCM 2875,QUITTANCE,QUITTANCE,"Hereford Cathedral, Chapter House",Documented,1313-01-20T00:00:00Z,,"1312/3,  Saturday,  the Feast of SS. Fabian and Sebastian [Jan. 20]",,chapter-house at Hereford,,"1312/3, Saturday, the Feast of SS. Fabian and Sebastian [Jan. 20], QUITTANCE"
HCM 2600,HCM 2600,QUITTANCE,QUITTANCE,London,Documented,1313-06-25T00:00:00Z,,"1313,  7 Kal. July [June 25]",,London,,"1313, 7 Kal. July [June 25], QUITTANCE"
HCM 2723,HCM 2723,QUITTANCE,QUITTANCE,London,Documented,1315-10-14T00:00:00Z,,"1315, October 14",,London,prob issued at London St Pauls like HCM 2717,"1315, October 14, QUITTANCE"
HCM 2742,HCM 2742,QUITTANCE,QUITTANCE,"Hereford, Herefordshire",Suggested,1317-03-15T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century (after 1317.3.15),early 14th century|AFTER death of RS on 1317.3.15,,"after 1317, if that's a reference to Richard as LATE bishop of H","Barly 14th century., QUITTANCE"
RBLR 1711,"RBLR 1711, HCM 2724",QUITTANCE,QUITTANCE,"Ledbury, Herefordshire",Documented,1317-05-03T00:00:00Z,,1317.5.3,,Ledbury,HCM 2724,"1317.5.3, QUITTANCE"
