Document Number,Alternate Numbering,Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 761,HCM 761,RECEIPT,Hereford,Documented,1336-03-26T00:00:00Z,,"1336,  7 Kalends April L March 26.",,Hereford,,"1336, 7 Kalends April L March 26., RECEIPT"
HCM 764,HCM 764,NOTARIAL INSTRUMENT,(Rome),Suggested,1290-09-01T00:00:00Z,,"1290,  September 1.",,,"loan from merchants of Pistorio, via their proctor--at Papal Curia--cf Capes, Charters & Records, 159-61","1290, September 1., NOTARIAL INSTRUMENT"
HCM 768,HCM 768,RECEIPT,Hereford,Documented,1337-03-31T00:00:00Z,,"1537,  march 31.",,Hereford,1337,"1537, march 31., RECEIPT"
HCM 769,HCM 769,NOTARIAL INSTRUMENT,(Research),Unknown,1291-01-08T00:00:00Z,,"1290/1,  Monday,  January 8.",,,where is RS Bp of H on 1291.1.8?,"1290/1, Monday, January 8., NOTARIAL INSTRUMENT"
HCM 77,HCM 77,RELEASE,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,bad OCR for clerk,"Late 13th. century, RELEASE, etek"
HCM 770,HCM 770,NOTARIAL INSTRUMENT,Hereford,Documented,1322-08-24T00:00:00Z,,"1322,  August 245 Fi",,Hereford,August 24,"1322, August 245 Fi, NOTARIAL INSTRUMENT"
HCM 772,HCM 772,ORDINANCE,(chapter-house at Hereford),Suggested,1298-02-25T00:00:00Z,,"1297/8; the morrow of the Feast of St. Mathias,  the apostle | February 25].",,,,"1297/8; the morrow of the Feast of St. Mathias, the apostle | February 25]., ORDINANCE"
HCM 773,HCM 773,GRANT,Hereford,Documented,1312-02-14T00:00:00Z,,"1311/2,  Saint Valentine's day [February 14].",,Hereford,,"1311/2, Saint Valentine's day [February 14]., GRANT"
HCM 8,HCM 8,GRANT in fee-farm,(Breinton),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT in fee-farm"
HCM 81,HCM 81,GRANT in fee-farm,(Warham Herefordshire),Suggested,1291-12-29T00:00:00Z,,"1291,  4 Kel. January | December 29].",,,,"1291, 4 Kel. January | December 29]., GRANT in fee-farm"
HCM 82,HCM 82,GRANT in fee-farm,Hereford,Documented,1350-03-12T00:00:00Z,,"1349/50,  Friday the Feast of St. Gregory,  Pope [March 12|",,Hereford,,"1349/50, Friday the Feast of St. Gregory, Pope [March 12|, GRANT in fee-farm"
HCM 889,HCM 889,GRANT,Hereford,Documented,1323-04-25T00:00:00Z,,"1323,  mele Oe Feast of St. Mark .   the Svengelist {afril 25].",,Hereford,,"1323, mele Oe Feast of St. Mark .   the Svengelist {afril 25]., GRANT"
HCM 9,HCM 9,RELEASE,(Breinton),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, RELBASE"
HCM 90,HCM 90,RELEASE,Hereford,Documented,1317-04-26T00:00:00Z,,"1317,  Tuesday the morrow of St. Mark the Evangelist [April 26].",,Hereford,,"1317, Tuesday the morrow of St. Mark the Evangelist [April 26]., RELEASE"
HCM 92,HCM 92,GRANT,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"late 13th. century, GRANT,"
HCM 93,HCM 93,GRANT in fee-farm,(Hereford),Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Barly 14th century.,early 14th century,,,"Barly 14th century., GRANT in fee-farm"
HCM 94,HCM 94,GRANT,(Hereford),Suggested,1296-07-31T00:00:00Z,,"1296,  the Teast of St. Peter ad Vinevla L August 1].",,,,"1296, the Teast of St. Peter ad Vinevla L August 1]., GRANT,"
HCM 945,HCM 945,QUITCLAIM,Hereford,Documented,1303-08-14T00:00:00Z,,"1503,  Wednesday the rie os of the Feast of the Assumption of the Virgin Mary {August 14)",,Hereford,"1303, QUITCLAIM","1503, Wednesday the rie os of the Feast of the Assumption of the Virgin Mary {August 14), QUITGLAIM"
HCM 946,HCM 946,QUITCLAIM,Hereford,Documented,1305-06-01T00:00:00Z,,"1305,  Tuesday next after the Feast of the Ascension of our Lord [June 1].",,Hereford,,"1305, Tuesday next after the Feast of the Ascension of our Lord [June 1]., QUITCLAIM"
HCM 97,HCM 97,GRANT in fee-farm,Hereford,Documented,1337-06-11T00:00:00Z,,"1337,  Wednesday the Feast of St,  Barnabas the Apostle jJune 11",,Hereford,"???|this record has OCR'ed only the second half of HCM 97, which runs across pp. 910-911;, bad OCR for continued? partial doc?, 1337, June 25","HCM 97, gont'a., 1337, Wednesday the Feast of St, Barnabas the Apostle jJune 11, GRAN? in fee-farm, 1537, Wednesday next after the Feast of the Nativity of St. John the Baptist ‘Sune 25, GRANT"
HCM 98,HCM 98,GRANT,Hereford,Documented,1337-06-25T00:00:00Z,,,,Hereford,,added manually
HCM 99,HCM 99,GRANT in fee-farm,Hereford,Documented,1337-06-25T00:00:00Z,,1337. Wednesday next after the Feast of the   Nativity of St. John the Baptist [June 25).,,Hereford,,"1337. Wednesday next after the Feast of the   Nativity of St. John the Baptist [June 25)., GRANT in fee-farm"
RBLR 0201,RBLR 0201,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1302-12-31T00:00:00Z,,1302.12.31< [*],before,Hereford,PRO C 241/41/7,1302.12.31< [*]
RBLR 0501,"RBLR 0501, HCM 23",GRANT,(Breinton),Suggested,1305-01-01T00:00:00Z,1305-12-31T00:00:00Z,1305 [*],,Hereford,HCM 23|INCLUDED,"1305 [*], GRANT"
RBLR 0701,RBLR 0701,CANONIZATION INQUEST,Hereford Cathedral,Documented,1307-11-13T00:00:00Z,,1307.11.13,,,list of those in attendance on last day of inquiry at H into life & miracles of T Cantilupe; RB listed among cathedral subdeacons,"RBLR 0701, 1307.11.13"
RBLR 0801,"RBLR 0801, HCM 1732",GRANT,(Hereford),Suggested,1308-01-01T00:00:00Z,1309-12-31T00:00:00Z,1308-1309 [*],1308-1309,Hereford,HCM 1732|INCLUDED,"1308-1309 [*], GRANT"
RBLR 0802,"RBLR 0802, HCM 28",GRANT,Hereford,Documented,1308-10-21T00:00:00Z,,1308.10.21,,Hereford,HCM 28|INCLUDED,"1308.10.21, GRANT"
RBLR 0901,RBLR 0901,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1309-07-02T00:00:00Z,,1309.7.2,,Hereford,PRO C 241/63/26,1309.7.2
RBLR 0902,RBLR 0902,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1309-10-07T00:00:00Z,,1309.10.7,,Hereford,PRO C 241/65/191,1309.10.7
RBLR 0903,RBLR 0903,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1309-10-07T00:00:00Z,,1309.10.7,,Hereford,PRO C 241/65/183,1309.10.7
RBLR 0904,RBLR 0904,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1309-10-07T00:00:00Z,,1309.10.7,,Hereford,PRO C 241/65/189,1309.10.7
RBLR 0905,RBLR 0905,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1309-10-07T00:00:00Z,,1309.10.7,,Hereford,PRO C 241/65/202,1309.10.7
RBLR 0906,RBLR 0906,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1309-11-04T00:00:00Z,,"1309.11.4, 1309.11.4",,Hereford,PRO C 241/65/204|OCR text incomplete,"RBLR 0906, 1309.11.4, 1309.11.4"
RBLR 0907,"RBLR 0907, HCM 1733",QUITCLAIM,Hereford,Documented,1309-12-06T00:00:00Z,,1309.12.6,,Hereford,HCM 1733|MISSING,"1309.12.6, QUITCLAIM"
RBLR 1001,"RBLR 1001, HCM 61",CONDITION,Hereford,Documented,1310-06-13T00:00:00Z,,1310.6.13,,Hereford,HCM 61|MISSING,"1310.6.13, CONDITION"
RBLR 1101,"RBLR 1101, HCM 2872",INDULGENCE,Hereford,Documented,1311-01-12T00:00:00Z,,1311.1.12,,Hereford,HCM 2872|INCLUDED,"1311.1.12, INDULGENCE"
RBLR 1102,RBLR 1102,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1311-04-13T00:00:00Z,,1311.4.13,,Hereford,PRO C 241/71/86,1311.4.13
RBLR 1103,"RBLR 1103, HCM 2873",RELEASE,(Hereford),Suggested,1311-04-25T00:00:00Z,,1311.4.25,,Hereford,HCM 2873|INCLUDED,"1311.4.25, RELEASE"
RBLR 1104,RBLR 1104,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1311-06-21T00:00:00Z,,1311.6.21,,Hereford,PRO C 241/71/188,1311.6.21
RBLR 1105,RBLR 1105,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1311-06-21T00:00:00Z,,1311.6.21,,Hereford,PRO C 241/71/189,1311.6.21
RBLR 1106,"RBLR 1106, HCM 203",RELEASE,Hereford,Documented,1311-06-28T00:00:00Z,,1311.6.28,,Hereford,HCM 203|INCLUDED,"1311.6.28, RELEASE"
RBLR 1107,"RBLR 1107, HCM 218",RELEASE,Hereford,Documented,1311-09-29T00:00:00Z,,1311.9.29,,Hereford,HCM 218|INCLUDED,"1311.9.29, RELEASE"
RBLR 1201,"RBLR 1201, HCM 553",RELEASE,Hereford,Documented,1312-02-17T00:00:00Z,,1312.2.17,,Hereford,,"1312.2.17, RELEASE"
RBLR 1301,RBLR 1301,INSTITUTION/COLLATION,Monnington-on-Wye Herefordshire,Documented,1313-01-19T00:00:00Z,,1313.1.19,,Monnington,,"1313.1.19, Institutions and Collations"
RBLR 1302,RBLR 1302,LICENSE OF NON-RESIDENCE FOR STUDY,(Bosbury),Suggested,1313-07-12T00:00:00Z,,1313.7.12,,,,"1313.7.12, License of Non-residence for Study"
RBLR 1303,"RBLR 1303, HCM 17",GRANT,Breinton,Documented,1313-10-23T00:00:00Z,,1313.10.23,,Breynton,HCM 17|MISSING,"1313.10.23, GRANT"
RBLR 1304,"RBLR 1304, HCM 1722",RECEIPT,Hereford,Documented,1313-11-26T00:00:00Z,,1313.11.26,,Hereford,HCM 1722|MISSING,"1313.11.26, RECEIPT"
RBLR 1304-em,"RBLR 1304-em, HCM 1722-em",INDENTURE,(Research),Unknown,1313-11-26T00:00:00Z,,1313.11.26,"date of indenture = DUE 1314, quindene of the feast of the purification of the Virgin, but date/place uncertain except that it's BEFORE date of Receipt ",,"(Embedded document)|Date of embedded doc unknown, but before date of receipt","1313.11.26, indenture"
RBLR 1401,"RBLR 1401, HCM 12",LEASE,Hereford,Documented,1314-06-01T00:00:00Z,,1314.6.1,,Hereford,HCM 12|MISSING,"1314.6.1, LEASE"
RBLR 1402,"RBLR 1402, HCM 13",AGREEMENT,Hereford,Documented,1314-06-01T00:00:00Z,,1314.6.1,,Hereford,HCM 13|MISSING,"1314.6.1, AGREEMENT"
RBLR 1403,"RBLR 1403, HCM 14",GRANT,Hereford,Documented,1314-06-01T00:00:00Z,,1314.6.1,,Hereford,HCM 14|MISSING,"1314.6.1, GRANT"
RBLR 1404,"RBLR 1404, HCM 117",GRANT,Hereford,Documented,1314-12-26T00:00:00Z,,1314.12.26,,Hereford,HCM 117|MISSING,"1314.12.26, GRANT,"
RBLR 1501,RBLR 1501,COMMISSION,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1315-04-19T00:00:00Z,,1315.4.19,,Bosebury,,"1315.4.19, Commission"
RBLR 1601,"RBLR 1601, HCM 26",GRANT,Breinton,Documented,1316-02-21T00:00:00Z,,1316.2.21,,Breynton,HCM 26|MISSING,"1316.2.21, GRANT"
RBLR 1602,RBLR 1602,DUPLICATE,Breinton,Documented,1316-02-21T00:00:00Z,,1316.2.21,,,HCM 27|INCLUDED,"1316.2.21, DUPLICATE"
RBLR 1603,"RBLR 1603, HCM 33",GRANT,Breinton,Documented,1316-04-04T00:00:00Z,,1316.4.4,,Breynton,HCM 33|MISSING,"1316.4.4, GRANT"
RBLR 1604,"RBLR 1604, HCM 35",AGREEMENT,Hereford,Documented,1316-04-04T00:00:00Z,,1316.4.4,,Hereford,HCM 35|MISSING,"1316.4.4, AGREEMENT"
RBLR 1605,RBLR 1605,CONFESSION & CORRECTION,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1316-05-16T00:00:00Z,,1316.5.16,,Bosebury,Confession and correction (Confessio et correccio),"1316.5.16, Confessio et correccio"
RBLR 1606,RBLR 1606,CERTIFICATE OF STATUTE MERCHANT,Hereford,Documented,1316-05-26T00:00:00Z,,1316.5.26,,Hereford,"PRO C 241/81/50|person, place, office, endorsement by?|Reigate doc, orig term 1308, filed 1316","1316.5.26, Coram R'"
RBLR 1607,RBLR 1607,AGREEMENT,Westminster,Documented,1316-10-20T00:00:00Z,,1316.10.20,,Westminster,FoF CP 25/1/82/32.108 [add column for Endorsed?],"1316.10.20, Agreement:"
RBLR 1608,"RBLR 1608, HCM 4",FINAL CONCORD,(Breinton),Suggested,1316-10-20T00:00:00Z,,1316.10.20,,Chirchebreynton',HCM 4|MISSING|cf HCM 26 same principals at Breynton,"1316.10.20, FINAL CONCORD"
RBLR 1701,"RBLR 1701, HCM 1034",RECEIPT,chapter-house at London St Pauls,Documented,1317-04-16T00:00:00Z,,1317.4.16,,chapter-house at London,HCM 1034,"1317.4.16, RECEIPT"
RBLR 1702,"RBLR 1702, HCM 1024",RECEIPT,Hereford,Documented,1317-04-26T00:00:00Z,,1317.4.26,,Hereford,HCM 1024,"1317.4.26, RECEIPT"
RBLR 1703,"RBLR 1703, HCM 1001",RECEIPT,Hereford,Documented,1317-04-28T00:00:00Z,,1317.4.28,,Hereford,HCM 1001,"1317.4.28, RECEIPT"
RBLR 1704,"RBLR 1704, HCM 1015",RECEIPT,chapter-house at Acornbury Priory,Documented,1317-04-28T00:00:00Z,,1317.4.28,,chapter-house of Acornebury,HCM 1015,"1317.4.28, RECEIPT"
RBLR 1705,"RBLR 1705, HCM 1009",RECEIPT,Hereford,Documented,1317-04-30T00:00:00Z,,1317.4.30,,Hereford,HCM 1009,"1317.4.30, RECEIPT"
RBLR 1706,"RBLR 1706, HCM 1025",RECEIPT,Hereford,Documented,1317-04-30T00:00:00Z,,1317.4.30,,Hereford,HCM 1025,"1317.4.30, RECEIPT"
RBLR 1707,"RBLR 1707, HCM 1043",RECEIPT,Hereford,Documented,1317-04-30T00:00:00Z,,1317.4.30,,Hereford,HCM 1043,"1317.4.30, from"
RBLR 1708,"RBLR 1708, HCM 1045",RECEIPT,Hereford,Documented,1317-04-30T00:00:00Z,,1317.4.30,,Hereford,HCM 1045,"1317.4.30, RECEIPT"
RBLR 1709,"RBLR 1709, HCM 1046",RECEIPT,Acornbury Priory,Documented,1317-04-30T00:00:00Z,,1317.4.30,,Acornebur',HCM 1046,"1317.4.30, RECEIPT"
RBLR 1710,"RBLR 1710, HCM 1048",RECEIPT,Hereford,Documented,1317-05-02T00:00:00Z,,1317.5.2,,Hereford,HCM 1048,"1317.5.2, RECEIPT"
RBLR 1711,"RBLR 1711, HCM 2724",QUITTANCE,Ledbury,Documented,1317-05-03T00:00:00Z,,1317.5.3,,Ledbury,HCM 2724,"1317.5.3, QUITTANCE"
RBLR 1712,"RBLR 1712, HCM 1037",RECEIPT,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1317-05-03T00:00:00Z,,1317.5.3,,Bosebury,HCM 1037,"1317.5.3, RECEIPT"
RBLR 1713,"RBLR 1713, HCM 1005",RECEIPT,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1317-05-05T00:00:00Z,,1317.5.5,,Bos',HCM 1005,"1317.5.5, RECEIPT"
RBLR 1714,"RBLR 1714, HCM 1011",RECEIPT,Hereford,Documented,1317-05-05T00:00:00Z,,1317.5.5,,Hereford,HCM 1011,"1317.5.5, RECEIPT"
RBLR 1715,"RBLR 1715, HCM 1028",RECEIPT,Hereford,Documented,1317-05-09T00:00:00Z,,1317.5.9,,Hereford,HCM 1028,"1317.5.9, RECEIPT"
RBLR 1716,"RBLR 1716, HCM 1031",RECEIPT,Hereford,Documented,1317-05-09T00:00:00Z,,1317.5.9,,Hereford,HCM 1031,"1317.5.9, RECEIPT"
RBLR 1717,"RBLR 1717, HCM 1030",RECEIPT,Hereford,Documented,1317-05-10T00:00:00Z,,1317.5.10,,Hereford,HCM 1030,"1317.5.10, RECEIPT"
RBLR 1718,"RBLR 1718, HCM 1019",RECEIPT,Hereford,Documented,1317-05-12T00:00:00Z,,1317.5.12,,Hereford,HCM 1019,"1317.5.12, RECEIPT"
RBLR 1719,"RBLR 1719, HCM 1013",RECEIPT,Hereford,Documented,1317-05-14T00:00:00Z,,1317.5.14,,Hereford,HCM 1013,"1317.5.14, RECEIPT"
RBLR 1720,"RBLR 1720, HCM 1021",RECEIPT,Hereford,Documented,1317-05-14T00:00:00Z,,1317.5.14,,Hereford,HCM 1021,"1317.5.14, RECEIPT"
RBLR 1721,"RBLR 1721, HCM 1040",RECEIPT,Hereford,Documented,1317-05-14T00:00:00Z,,1317.5.14,,Hereford,HCM 1040,"1317.5.14, RECEIPT"
RBLR 1722,"RBLR 1722, HCM 1041",RECEIPT,Hereford,Documented,1317-05-14T00:00:00Z,,1317.5.14,,Hereford,HCM 1041,"1317.5.14, RECEIPT"
RBLR 1723,"RBLR 1723, HCM 1004",RECEIPT,Hereford,Documented,1317-05-14T00:00:00Z,,1317.5.14,,Hereford,HCM 1004,"1317.5.14, RECEIPT"
RBLR 1724,"RBLR 1724, HCM 1012",RECEIPT,Hereford,Documented,1317-05-15T00:00:00Z,,1317.5.15,,Hereford,HCM 1012,"1317.5.15, RECEIPT"
RBLR 1725,"RBLR 1725, HCM 1020",RECEIPT,Hereford,Documented,1317-05-16T00:00:00Z,,1317.5.16,,Hereford,HCM 1020,"1317.5.16, RECEIPT"
RBLR 1726,"RBLR 1726, HCM 1042",RECEIPT,Ludlow,Documented,1317-05-16T00:00:00Z,,1317.5.16,,Lodelawe,HCM 1042,"1317.5.16, RECEIPT"
RBLR 1727,"RBLR 1727, HCM 1006",RECEIPT,(Hereford),Suggested,1317-05-17T00:00:00Z,,1317.5.17,,Hereford,HCM 1006,"1317.5.17, RECEIPT"
RBLR 1728,"RBLR 1728, HCM 1016",RECEIPT,Hereford,Documented,1317-05-17T00:00:00Z,,1317.5.17,,Hereford,HCM 1016,"1317.5.17, RECEIPT"
RBLR 1729,"RBLR 1729, HCM 2602",RECEIPT,Hereford,Documented,1317-05-17T00:00:00Z,,1317.5.17,,Hereford,HCM 2602,"1317.5.17, RECEIPT"
RBLR 1730,"RBLR 1730, HCM 1008",RECEIPT,Hereford,Documented,1317-05-18T00:00:00Z,,1317.5.18,,Hereford,HCM 1008,"1317.5.18, RECEIPT"
RBLR 1731,"RBLR 1731, HCM 1010",RECEIPT,Hereford,Documented,1317-05-18T00:00:00Z,,1317.5.18,,Hereford,HCM 1010,"1317.5.18, RECEIPT"
RBLR 1732,"RBLR 1732, HCM 1003",RECEIPT,Hereford,Documented,1317-05-18T00:00:00Z,,1317.5.18,,Hereford,HCM 1003,"1317.5.18, RECEIPT"
RBLR 1733,"RBLR 1733, HCM 1026",RECEIPT,Hereford,Documented,1317-05-18T00:00:00Z,,1317.5.18,,Hereford,HCM 1026,"1317.5.18, RECEIPT"
RBLR 1734,"RBLR 1734, HCM 1044",RECEIPT,Hereford,Documented,1317-05-18T00:00:00Z,,1317.5.18,,Hereford,HCM 1044,"1317.5.18, RECEIPT"
RBLR 1735,"RBLR 1735, HCM 1023",RECEIPT,Hereford,Documented,1317-05-19T00:00:00Z,,1317.5.19,,Hereford,HCM 1023,"1317.5.19, RECEIPT"
RBLR 1736,"RBLR 1736, HCM 41",GRANT,Hereford,Documented,1317-06-09T00:00:00Z,,1317.6.9,,Hereford,HCM 41,"1317.6.9, GRANT"
RBLR 1737,"RBLR 1737, HCM 1002",RECEIPT,London,Documented,1317-07-12T00:00:00Z,,1317.7.12,,London,HCM 1002,"1317.7.12, RECEIPT"
RBLR 1738,"RBLR 1738, HCM 1007",RECEIPT,London,Documented|Documented,1317-07-13T00:00:00Z,,1317.7.13,,London & Wyngham,HCM 1007,"1317.7.13, RECEIPT"
,,,Wingham Kent,,,,,,,,
RBLR 1739,"RBLR 1739, HCM 1036",RECEIPT,Canterbury,Documented,1317-07-14T00:00:00Z,,1317.7.14,,Canterbury,HCM 1036,"1317.7.14, RECEIPT"
RBLR 1740,"RBLR 1740, HCM 1018",RECEIPT,Canterbury,Documented,1317-07-17T00:00:00Z,,1317.7.17,,Canterbury,HCM 1018,"1317.7.17, RECEIPT"
RBLR 1741,"RBLR 1741, HCM 1035",RECEIPT,London,Documented,1317-08-02T00:00:00Z,,1317.8.2,,London,HCM 1035,"1317.8.2, RECEIPT"
RBLR 1742,RBLR 1742,OBLIGATION TO PAY,Thame Abbey Oxfordshire,Documented,1317-08-08T00:00:00Z,,1317.8.8,,Tame,BOND,"1317.8.8, binds"
RBLR 1743,"RBLR 1743, HCM 2677",RECEIPT,Hereford,Documented,1317-09-09T00:00:00Z,,1317.9.9,,Hereford,HCM 2677,"1317.9.9, RECEIPT"
RBLR 1744,RBLR 1744,TESTAMENT (EXTRACT),(Sugwas Court Herefordshire),Suggested,1317-10-17T00:00:00Z,1317 oct 24 ,1317.10.17-24,1317 oct 24 ,,,"1317.10.17-24, will"
RBLR 1745,RBLR 1745,RECEIPT FOR BREVIARY,Sugwas Court Herefordshire,Documented,1317-10-25T00:00:00Z,,1317.10.25,,Sugwas,,"1317.10.25, receipt"
RBLR 1746,RBLR 1746,RECEIPT FOR MITRE,Sugwas Court Herefordshire,Documented,1317-10-26T00:00:00Z,,1317.10.26,,Sugwas,,"1317.10.26, receipt"
RBLR 1801,RBLR 1801,RESIGNATION OF BENEFICE (PLURALISM),Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1318-02-02T00:00:00Z,,1318.2.2,,Bosebury,Resignationd,"1318.2.2, resigns"
RBLR 1802,RBLR 1802,WITHDRAWAL OF CLAIMS FOR DILAPIDATIONS,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1318-02-06T00:00:00Z,,1318.2.6,,Bosebury,Remission of claim,"1318.2.6, REMISSIO"
RBLR 1803,RBLR 1803,RESIGNATION OF BENEFICE (PLURALISM),Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1318-02-13T00:00:00Z,,1318.2.13,,Bosebury,Resignation,"1318.2.13, resigns, commissions"
RBLR 1804,"RBLR 1804, HCM 39",GRANT,(Hereford),Suggested,1318-03-09T00:00:00Z,,1318.3.9,,Hereford,HCM 39,"1318.3.9, GRANT"
RBLR 1805,"RBLR 1805, HCM 1032",RECEIPT,Canterbury,Documented,1318-03-22T00:00:00Z,,1318.3.22,,Canterbury,HCM 1032,"1318.3.22, RECEIPT"
RBLR 1806,"RBLR 1806, HCM 1038",RECEIPT,Canterbury,Documented,1318-03-22T00:00:00Z,,1318.3.22,,Canterbury,HCM 1038,"1318.3.22, RECEIPT"
RBLR 1807,"RBLR 1807, HCM 1017",RECEIPT,Canterbury,Documented,1318-03-22T00:00:00Z,,1318.3.22,,Canterbury,HCM 1017,"1318.3.22, RECEIPT"
RBLR 1808,"RBLR 1808, HCM 1029",RECEIPT,Canterbury,Documented,1318-03-22T00:00:00Z,,1318.3.22,,Canterbury,HCM 1029,"1318.3.22, RECEIPT"
RBLR 1809,"RBLR 1809, HCM 1039",RECEIPT,Canterbury,Documented,1318-03-23T00:00:00Z,,1318.3.23,,Canterbury,HCM 1039,"1318.3.23, RECEIPT"
RBLR 1810,"RBLR 1810, HCM 1047",RECEIPT,Canterbury,Documented,1318-03-23T00:00:00Z,,1318.3.23,,Canterbury,HCM 1047,"1318.3.23, RECEIPT"
RBLR 1811,"RBLR 1811, HCM 1022",RECEIPT,Canterbury,Documented,1318-03-23T00:00:00Z,,1318.3.23,,Canterbury,HCM 1022,"1318.3.23, RECEIPT"
RBLR 1812,"RBLR 1812, HCM 1014",RECEIPT,Canterbury,Documented,1318-03-23T00:00:00Z,,1318.3.23,,Canterbury,HCM 1014,"1318.3.23, RECEIPT"
RBLR 1813,"RBLR 1813, HCM 1027",RECEIPT,Wingham Kent,Documented,1318-03-24T00:00:00Z,,1318.3.24,,Wyngeham,HCM 1027,"1318.3.24, RECEIPT"
RBLR 1814,"RBLR 1814, HCM 1033",RECEIPT,Canterbury,Documented,1318-03-25T00:00:00Z,,1318.3.25,,Canterbury,HCM 1033,"1318.3.25, RECEIPT"
RBLR 1815,RBLR 1815,MEMORANDUM,Highbury North London,Documented,1318-06-03T00:00:00Z,,1318.6.3,,Heybury juxta Londonias,,"1318.6.3, Memorandum"
RBLR 1816,RBLR 1816,MANDATE,Avignon,Documented,1318-07-18T00:00:00Z,,1318.7.18,,Avignon,CPL,"1318.7.18, Mandate"
RBLR 1817,RBLR 1817,APPOINTMENT OF PROCTORS,Rue in Ponthieu Somme Hauts-de-France,Documented,1318-07-29T00:00:00Z,,1318.7.29,,Rue in Pontinio,Appointment as Proctoc,"1318.7.29, PROCURATORIUM"
RBLR 1818,RBLR 1818,APPOINTMENT OF PROCTOR FOR PAPAL OATH,Rue in Ponthieu Somme Hauts-de-France,Documented,1318-07-29T00:00:00Z,,1318.7.29,,superius contentis.,Appointment as Proxy,"1318.7.29, ALIUD PROCURATORIUM"
RBLR 1819,RBLR 1819,AGREEMENT,Westminster,Documented,1318-10-06T00:00:00Z,,1318.10.6,,Westminster,FoF,"1318.10.6, Agreement"
RBLR 1901,"RBLR 1901, HCM 34",RELEASE,Hereford,Documented,1319-01-14T00:00:00Z,,1319.1.14,,Hereford,HCM 34,"1319.1.14, RELEASE"
RBLR 1902,RBLR 1902,PROTECTION WITH CLAUSE,York,Documented,1319-01-18T00:00:00Z,,1319.1.18,,York,CPR|which clause? prev doc = nolumus,"1319.1.18, Protection, with clause"
RBLR 1903,RBLR 1903,PROVISION,Avignon,Documented,1319-04-26T00:00:00Z,,1319.4.26,,,CPL,"1319.4.26, Provision"
RBLR 1904,RBLR 1904,RENUNCIATION OF CLAIM TO BENEFICE,Avignon residence of Adam Orleton,Documented,1319-05-04T00:00:00Z,,1319.5.4,,Avignon residence of Adam Orleton,RENUNCIATION,"1319.5.4, RENUNCIACIO"
RBLR 1905,RBLR 1905,OBLIGATION TO PAY ANNUITY,Avignon residence of Adam Orleton,Documented,1319-05-06T00:00:00Z,,1319.5.6,,Avignon residence of Adam Orleton,BOND,"1319.5.6, OBLIGACIO"
RBLR 1906,RBLR 1906,REMISSION OF CLAIM TO ANNUITY (CONDITIONAL),Avignon residence of Adam Orleton,Documented,1319-05-06T00:00:00Z,,1319.5.6,,Avinione in hospicio quod tunc temporis inhabitavit venerabilis pater predictus,"Remission (of pension grant, when he gets a benfice)","1319.5.6, REMISSIO"
RBLR 1907,RBLR 1907,APPOINTMENT AS PROCURATOR,Avignon Priory of St Rufus-by-Avignon,Documented,1319-06-19T00:00:00Z,,1319.6.19,,prioratu sancti Rufi juxta Avynyonem,Appointment at Proctor,"1319.6.19, PROCURATORIUM"
RBLR 1908,RBLR 1908,ASSIGNMENT OF CANONICAL RESIDENCE,Avignon Priory of St Rufus-by-Avignon,Documented,1319-09-08T00:00:00Z,,1319.9.8,,prioratu sancti Rufi juxta Avynyonem,ASSIGNMENT (of canonical houses),"1319.9.8, assigns"
RBLR 1909,RBLR 1909,COMMISSION TO ASSESS,Avignon Priory of St Rufus-by-Avignon,Documented,1319-09-15T00:00:00Z,,1319.9.15,,prioratu sancti Rufi juxta Avynyonem,COMMISSION,"1319.9.15, commissions"
RBLR 1910,"RBLR 1910, HCM 25",GRANT,Hereford,Documented,1319-11-04T00:00:00Z,,1319.11.4,,Hereford,HCM 25,"1319.11.4, GRANT"
