Document Number	Doc Type	Given At	Earliest Date	Latest Date	DATE	Date notes	Given at_old	COMMENTS	QUOTE_TRANSCRIPTION
HCM 557	GRANT	Ludegodefray	1346-10-22T00:00:00Z		1346,  Sunday next after the Feast of St. Luke the hLvangelist .vctober 22).		Ludegodefray	October	1346, Sunday next after the Feast of St. Luke the hLvangelist .vctober 22)., GRANT
HCM 558	RELEASE	Stanton	1319-07-19T00:00:00Z		1319,  the vigil of the Feast of St,  Margaret the Virgin {July 19]		Stanton		1319, the vigil of the Feast of St, Margaret the Virgin {July 19], RELEASE
HCM 559	RELEASE	Stanton	1316-02-08T00:00:00Z		1315/6,  Sunday next after the Feast of the Purification of the Blessed Mary [February 8]		Stanton		1315/6, Sunday next after the Feast of the Purification of the Blessed Mary [February 8], RELEASE
HCM 56	GRANT		1300-01-01T00:00:00Z	1350-12-31T00:00:00Z	First half 14th century	approx			First half 14th century, GRANT
HCM 560	GRANT	Gatesford’	1339-01-11T00:00:00Z		1338/9 Monday next after the Feast of e Epiphany LJanuary 11).		Gatesford’		1338/9 Monday next after the Feast of e Epiphany LJanuary 11)., GRANT,
HCM 564	GRANT	Brompton’ Parva	1316-03-01T00:00:00Z		1315/6,  Monday next after the Feast of St. Matthias the Apostle [March 1]		Brompton’ Parva		1315/6, Monday next after the Feast of St. Matthias the Apostle [March 1], GRANT
HCM 565	NOTIFICATION	Avignon	1321-09-04T00:00:00Z		1321,  September 4		Avignon	check PDF for any stray names that aren't books|okay done, just the one (nephew Laurence in add to Raymond + dr LG deaceased)|so much Latin that OCR prob not every gonna fly	HCM 565, 1321, September 4,, NOTIFICATION
HCM 571	INDULGENCE	Lugwardyn	1283-01-10T00:00:00Z		1282/3,  4 Ides of Jenuary January 10.		Lugwardyn	this doc (HCM 571) needs splitting from the second one (HCM 2128) below, cut everything below into its own doc	HCM 571, 1282/3, 4 Ides of Jenuary January 10., INDULGENCE, NOs. 2128
HCM 58	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	Leires 1300.	approx			Leires 1300., GRANT
HCM 582	GRAN?	** Sitesanes; Ledbury	1322-08-15T00:00:00Z		1322,  the Feast of the samen ee of the Blessed Virgin mary ‘|August 15].		** Sitesanes	candidate for OCR?|we got them all, despite what it looks like--ignore the non highlighted, GRANT	HCM 582, 1322, the Feast of the samen ee of the Blessed Virgin mary ‘|August 15]., GRAN?
HCM 588	LEASE		1287-09-29T00:00:00Z		1287,  Michaelmas | September 29.			candidate for OCR (we got them but...)	HCM 588, 1287, Michaelmas | September 29., LEASE
HCM 589	RELEASE	Herdewyk'.	1311-07-22T00:00:00Z		1311,  Thursday next after the Feast of St. Margaret the Virgin [July 22].		Herdewyk'.		1311, Thursday next after the Feast of St. Margaret the Virgin [July 22]., RELEASE
HCM 593	GRANT	Fowehop’	1308-03-12T00:00:00Z		1307/8,  the Feast of St. Gregory the Pope [March 12		Fowehop’		1307/8, the Feast of St. Gregory the Pope [March 12, GRANT
HCM 594	GRAIT	Lutelhope.	1348-12-11T00:00:00Z		Thursday next after the Feast of bonception of the Virgin Mary | December 11		Lutelhope.	1348/9, GRANT	Thursday next after the Feast of bonception of the Virgin Mary | December 11, GRAIT
HCM 597	LEASE	Ros	1316-02-02T00:00:00Z		1315/6,  the Feast of the Purification of the Virgin Mary [February 2].		Ros		1315/6, the Feast of the Purification of the Virgin Mary [February 2]., LEASE
HCM 598	LEASE f	dereford	1351-05-20T00:00:00Z		1351,  the Feast of St. Ethelbert the king and martyr |May 20		dereford		1351, the Feast of St. Ethelbert the king and martyr |May 20,, LEASE f
HCM 6	GRANT		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT
HCM 60	GRANT	Hereford	1351-10-02T00:00:00Z		1551,  Sunday next after the Feast of St,  ifichael |October 2.		Hereford	1351	1551, Sunday next after the Feast of St, ifichael |October 2., GRANT
HCM 600	GRANT	Walford	1336-12-12T00:00:00Z		1536,  Thursday next after the Feast of the ,   Conception of the Virgin Mary |December 12]		Walford	1336	1536, Thursday next after the Feast of the ,  Conception of the Virgin Mary |December 12], GRANT
HCM 601	GRANT	Walford	1336-04-04T00:00:00Z		1336,  Thursdsy the Feast of St. Ambrose the Bishop LApril 4).		Walford		1336, Thursdsy the Feast of St. Ambrose the Bishop LApril 4)., GRANT
HCM 602	GRANT	Walford	1337-01-06T00:00:00Z		1336/7,  the Feast of the Rpiphany [January 6)		Walford		1336/7, the Feast of the Rpiphany [January 6), GRANT
HCM 603	RELEASE	Walford	1336-04-07T00:00:00Z		1336,  Sunday next after the Feast of St. Am se (April 7)		Walford		1336, Sunday next after the Feast of St. Am se (April 7), RELEASE
HCM 604	GRANT	walfora'	1336-12-12T00:00:00Z		1536,  Thursday next after the Feast of ,    the Conception of the Virgin wary (December 12}		walfora'	1336	1536, Thursday next after the Feast of ,   the Conception of the Virgin wary (December 12}, GRANT
HCM 605	RELEASE	W	1336-12-12T00:00:00Z		1336,  Thursday next after the Feast of the Conception of the Virgin Mary {December 12]		W		1336, Thursday next after the Feast of the Conception of the Virgin Mary {December 12],, RELEASE
HCM 606	GRANT in fee-farm		1292-10-18T00:00:00Z		1292,  15 Kalends of November October 18.				1292, 15 Kalends of November October 18., GRANT in fee-farm
HCM 607	GRANT in fee-farm		1292-07-03T00:00:00Z		1292,  5 Nones July July 3.			OCR candidate, witnesses	HCM 607, 1292, 5 Nones July July 3., GRANT in fee-farm,
HCM 608	GRANT	Hereford	1307-12-12T00:00:00Z		1307,  Tuesday next after the Feast of St. Nicholas [December 12]		Hereford		1307, Tuesday next after the Feast of St. Nicholas [December 12], GRANT
HCM 609	AGREEMENT	Hereford	1308-01-20T00:00:00Z		1307/8,  Saturday next before the Feast of the Conversion of St. Paul [January 20]		Hereford		1307/8, Saturday next before the Feast of the Conversion of St. Paul [January 20], AGREEMENT
HCM 610	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., GRANT
HCM 611	GRANT IN EXCHANGE		1290-01-01T00:00:00Z	1300-12-31T00:00:00Z	L Ind of 13th century.	approx			L Ind of 13th century., GRANT IN EXCHANGE
HCM 621	GRANT	la Leye.	1333-11-24T00:00:00Z		1333,  Wednesday next after the Feast of St. Clemens (November 24]		la Leye.		1333, Wednesday next after the Feast of St. Clemens (November 24], GRANT
HCM 622	ACKNOWLEDGEMENT	Hereford	1294-05-27T00:00:00Z		1294,  6 Kalends of June May 27		Hereford		1294, 6 Kalends of June May 27, ACKNOWLEDGMENT
HCM 623	AGREEMENT	Lank' and Landaff	1309-12-03T00:00:00Z		1309,  3 Nones of December [December 3]		Lank' and Landaff		1309, 3 Nones of December [December 3], AGREEMENT
HCM 624	AGREEMENT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century	early 14th century			Early 14th century, AGREEMENT
HCM 627	GRANT	chope; Lutlehope	1361-09-20T00:00:00Z		13561,  Monday next efter the Feast of the Exaltation of the Holy Cross Septenber 20].		chope	1361	13561, Monday next efter the Feast of the Exaltation of the Holy Cross Septenber 20]., GRANT
HCM 63	GRANT	Hereford	1316-08-26T00:00:00Z		1316,  Thursday next after the Feast of St.   Bartholomew the Apostle [August 26]		Hereford		1316, Thursday next after the Feast of St.   Bartholomew the Apostle [August 26], GRANT
HCM 631	GRANT in fee-farm		1293-04-19T00:00:00Z		1293,  13 Kslends of May | April 19.				1293, 13 Kslends of May | April 19., GRANT in fee-farm
HCM 633	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., GRANT
HCM 635	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., GRANT
HCM 636	GRANT	Weston’.	1321-05-14T00:00:00Z		1321,  Thursday next before the Feast of    St. Ethelbert (May 14]		Weston’.		1321, Thursday next before the Feast of    St. Ethelbert (May 14], GRANT
HCM 637	LETTERS OF ATTORNEY	Hereford	1333-09-09T00:00:00Z		13335 Thursdey next after the Feast of the Nativity of the Virgin Mary | September 9]		Hereford	1333	13335 Thursdey next after the Feast of the Nativity of the Virgin Mary | September 9], LETTERS OF ATTORNEY
HCM 638	GRANT	Luide Godefray	1347-07-02T00:00:00Z		1347,  Monday next after the Feast of the Apostles Peter and Peul | July 2]		Luide Godefray		1347, Monday next after the Feast of the Apostles Peter and Peul | July 2], GRANT
HCM 64	Acquittance	Hereford	1333-08-23T00:00:00Z		1333,  August 23.		Hereford		1333, August 23., ACQUITTANCE
HCM 644		Luyde Muchegros.	1339-11-22T00:00:00Z		1339,  Thursday next after the Feast of St. ,    Edmund [November 22].		Luyde Muchegros.		1339, Thursday next after the Feast of St. ,   Edmund [November 22].
HCM 648	VERDICT	Maddeley	1300-01-14T00:00:00Z	1325-01-14T00:00:00Z	\Barly 14th uae Tuesday next .   after the Feast o bt. Hillary	Early 14th century Tuesday next    after the Feast of St Hillary	Maddeley		\Barly 14th uae Tuesday next .   after the Feast o bt. Hillary, VERDICT
HCM 648a	PORTIONS of assessments		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., PORTIONS of assessments
HCM 649	Son	idehegy; Maddeleye; Maddeley	1300-10-28T00:00:00Z	1325-10-27T18:09:24Z	Barly 14th century Fr next before the Feast i Anan ook Judas the Apostles	approx	idehegy	VERDICT	Barly 14th century Fr next before the Feast i Anan ook Judas the Apostles, Son
HCM 65	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th.century	approx			Late 13th.century, GRANT in fee-farm
HCM 650	GRANT	La Bach	1331-10-07T00:00:00Z		1331,  ante mutt before the Feast of St. ,   Dionysius martyr October 7]		la Bach'		1331, ante mutt before the Feast of St. ,  Dionysius martyr October 7], GRANT
HCM 651	GRANT	a; La Bach	1331-11-05T00:00:00Z		1331 Tuesday next after the Feast of All .   Sa ts LNovember 5]		a		1331 Tuesday next after the Feast of All .   Sa ts LNovember 5], GRANT
HCM 66	GRANT	Hereford	1334-02-25T00:00:00Z		1333/4,  Friday next after the Feast of St. Matthies the Apostle February 25].		Hereford		1333/4, Friday next after the Feast of St. Matthies the Apostle February 25]., GRANT
HCM 661	AGREEMENT	cathedral church of Hereford	1306-03-19T00:00:00Z		1305/6,  Saturday next after the Feast of St. Gregory the Pope [March 19].		cathedral church of Hereford		1305/6, Saturday next after the Feast of St. Gregory the Pope [March 19]., AGREEMENT
HCM 663	GHANT		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx		GRANT	late 13th. century, GHANT
HCM 664	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm
HCM 665	GRANT	Hereford	1351-09-29T00:00:00Z		1351,  Michaelmas September 29		Hereford		1351, Michaelmas September 29, GRANT
HCM 666	GRANT	Sutton’ in the manor of Maurdyn; Sutton’ in the manor of saurdyn	1361-09-06T00:00:00Z		1361,  Monday next before the Feast of the .   eo the Blessed Virgin wary | September. 6 |		Sutton’ in the manor of saurdyn		1361, Monday next before the Feast of the .   eo the Blessed Virgin wary | September. 6 |, GRANT
HCM 669	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Barly 14th century.	early 14th century			Barly 14th century., GRANT
HCM 670	LEASE	Ministrewurth	1311-03-25T00:00:00Z		1311,  the Feast of the Annunciation of the Blessed Virgin [March 25]		Ministrewurth		1311, the Feast of the Annunciation of the Blessed Virgin [March 25], LEASE
HCM 672	RELEASE	Gloucester.	1357-06-23T00:00:00Z		1357,  Friday the Vigil of the Nativity of St. John the Baptist (June 23).		Gloucester.		1357, Friday the Vigil of the Nativity of St. John the Baptist (June 23)., RELEASE
HCM 674	ee	Hereford	1294-07-01T00:00:00Z		1294,  July 1.		Hereford	ASSIGNMENT	1294, July 1., ee
HCM 675	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	Loirea 1300	approx			Loirea 1300, GRANT,
HCM 676	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., GRANT
HCM 677	RELEASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, RELEASE
HCM 678	GRANT	Deweswalle	1314-10-14T00:00:00Z		1314,  October 14		Deweswalle		1314, October 14, GRANT
HCM 679	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century	early 14th century			Early 14th century, GRANT
HCM 680	GRANT	Deweswalle	1310-09-06T00:00:00Z		1310,  Sunday next after the Feast of St. Giles the Abbot [September 6]		Deweswalle		1310, Sunday next after the Feast of St. Giles the Abbot [September 6], GRANT
HCM 681	RELEASE	Hereford	1317-01-15T00:00:00Z		1316/7,  Saturday next after the Feast of [?St. Hillary] [January 15]		Hereford		1316/7, Saturday next after the Feast of [?St. Hillary] [January 15], RELEASE
HCM 682	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century	early 14th century			Early 14th century, GRANT
HCM 684	RELEASE		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., RELEASE
HCM 685	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Barly 14th century.	early 14th century			Barly 14th century., GRANT
HCM 686	RELEASE		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., RELEASE,
HCM 687	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	early 14th century			Early 14th century., GRANT,
HCM 688	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	Loirea 1300	approx			Loirea 1300, GRANT,
HCM 689	LEASE		1285-05-13T00:00:00Z		1285,  the Feast of the Pentecost [May 13]				1285, the Feast of the Pentecost [May 13], LEASE
HCM 690	LEASE		1282-09-29T00:00:00Z		1282,  Michselmas | September 29.				1282, Michselmas | September 29., LEASE,
HCM 691	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century;, GRANT in fee-farm,
HCM 692	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			girea 1300., GRANT
HCM 693	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm
HCM 694	GRANT in fee-farm		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			Lgirea 1300, GRANT in fee-farm
HCM 695	RELEASE	Hereford	1345-02-28T00:00:00Z		1344/5,  Monday next after the Feast of ,   St. Peter in cathedra [February 28].		Hereford		1344/5, Monday next after the Feast of ,  St. Peter in cathedra [February 28]., RELEASE
HCM 7	GRANT		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT,
HCM 700	GRANT	Hereford	1311-10-09T00:00:00Z		1311,  Saturday the Feast of St. Dionysius [October 9].		Hereford		1311, Saturday the Feast of St. Dionysius [October 9]., GRANT
HCM 703	RELEASE	Hereford	1297-12-27T00:00:00Z		1297,  the Feast of St. John the Apostle [December 27].		Hereford		1297, the Feast of St. John the Apostle [December 27]., RELEASE,
HCM 710	GRANT	Hereford	1350-12-30T00:00:00Z		1350,  Thursday next efter the Feast of the Nativity of our Lord {December 30]		Hereford		1350, Thursday next efter the Feast of the Nativity of our Lord {December 30], GRANT
HCM 715	NOTARIAL INSTRUMENT	chapter of Hereford	1318-02-26T00:00:00Z		1317/8,  February 26		chapter of Hereford		1317/8, February 26, NOTARIAL INSTRUMENT
HCM 716	LEASE f	Hereford	1352-02-25T00:00:00Z		1351/2,  6 Kalends of March |Pebruary 25|.		Hereford		1351/2, 6 Kalends of March |Pebruary 25|., LEASE f
HCM 718	INCUISITION	Hereford	1295-04-07T00:00:00Z		1295,  April 7		Hereford		1295, April 7,, INCUISITION
HCM 728	RECEIPT	Hereford	1356-03-27T00:00:00Z		1356,  Mareh 276		Hereford	March 27	1356, Mareh 276, RECEIPT
HCM 735	RELEASE	Hereford in  the chapter-house	1354-08-29T00:00:00Z		1354,  Friday the Feast of the Decollation -   of Ste John the boptist (August 29).		Hereford in  the chapter-house		1354, Friday the Feast of the Decollation -   of Ste John the boptist (August 29)., RELEASE
HCM 746	GRANT in frank almoign	Hereford	1310-01-01T00:00:00Z	1310-12-31T00:00:00Z	[circa 1310].	circa 1310	Hereford		[circa 1310]., GRANT in frank almoign
HCM 747	BOND	Wenlok' in the chapter- Ouses	1343-07-18T00:00:00Z		1343,  July 18.		Wenlok' in the chapter- Ouses		1343, July 18., BOND
HCM 75	QUITCLAIM		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, QUITCLAIM
HCM 755	GRANT	Hereford	1317-06-24T00:00:00Z		1317,  Friday the Feast of the Nativity of John the Baptist [June 24]		Hereford		1317, Friday the Feast of the Nativity of John the Baptist [June 24], GRANT,
HCM 758	NOTARIAL INSTRUMENT	Hereford	1314-05-30T00:00:00Z		1314,  May 30		Hereford		1314, May 30, NOTARIAL INSTRUMENT
HCM 76	RELEASE		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			\girea 1300, RELEASE
HCM 760	GRANT	te; Ledbury	1361-11-16T00:00:00Z		1361,  Tuesday the Feast of Saint Hdmund .   the archbishop | November 16|		te		1361, Tuesday the Feast of Saint Hdmund .   the archbishop | November 16|, GRANT
HCM 761	RECEIPT	Hereford	1336-03-26T00:00:00Z		1336,  7 Kalends April L March 26.		Hereford		1336, 7 Kalends April L March 26., RECEIPT
HCM 764	NOTARIAL INSTRUMENT		1290-09-01T00:00:00Z		1290,  September 1.				1290, September 1., NOTARIAL INSTRUMENT
HCM 768	RECEIPT	Hereford	1337-03-31T00:00:00Z		1537,  march 31.		Hereford	1337	1537, march 31., RECEIPT
HCM 769	NOTARIAL INSTRUMENT		1291-01-08T00:00:00Z		1290/1,  Monday,  January 8.				1290/1, Monday, January 8., NOTARIAL INSTRUMENT
HCM 77	RELEASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx		bad OCR for clerk	Late 13th. century, RELEASE, etek
HCM 770	NOTARIAL INSTRUMENT	Hereford	1322-08-24T00:00:00Z		1322,  August 245 Fi		Hereford	August 24	1322, August 245 Fi, NOTARIAL INSTRUMENT
HCM 772	ORDINANCE		1298-02-25T00:00:00Z		1297/8; the morrow of the Feast of St. Mathias,  the apostle | February 25].				1297/8; the morrow of the Feast of St. Mathias, the apostle | February 25]., ORDINANCE
HCM 773	GRANT	Hereford	1312-02-14T00:00:00Z		1311/2,  Saint Valentine's day [February 14].		Hereford		1311/2, Saint Valentine's day [February 14]., GRANT
HCM 8	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm
HCM 81	GRANT in fee-farm		1291-12-29T00:00:00Z		1291,  4 Kel. January | December 29].				1291, 4 Kel. January | December 29]., GRANT in fee-farm
HCM 82	GRANT in fee-farm	Hereford	1350-03-12T00:00:00Z		1349/50,  Friday the Feast of St. Gregory,  Pope [March 12|		Hereford		1349/50, Friday the Feast of St. Gregory, Pope [March 12|, GRANT in fee-farm
HCM 889	GRANT	Hereford	1323-04-25T00:00:00Z		1323,  mele Oe Feast of St. Mark .   the Svengelist {afril 25].		Hereford		1323, mele Oe Feast of St. Mark .   the Svengelist {afril 25]., GRANT
HCM 9	RELBASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, RELBASE
HCM 90	RELEASE	Hereford	1317-04-26T00:00:00Z		1317,  Tuesday the morrow of St. Mark the Evangelist [April 26].		Hereford		1317, Tuesday the morrow of St. Mark the Evangelist [April 26]., RELEASE
HCM 92	GRANT		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			late 13th. century, GRANT,
HCM 93	GRANT in fee-farm		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Barly 14th century.	early 14th century			Barly 14th century., GRANT in fee-farm
HCM 94	GRANT		1296-07-31T00:00:00Z		1296,  the Teast of St. Peter ad Vinevla L August 1].				1296, the Teast of St. Peter ad Vinevla L August 1]., GRANT,
HCM 945	QUITCLAIM	Hereford	1303-08-14T00:00:00Z		1503,  Wednesday the rie os of the Feast of the Assumption of the Virgin Mary {August 14)		Hereford	1303, QUITCLAIM	1503, Wednesday the rie os of the Feast of the Assumption of the Virgin Mary {August 14), QUITGLAIM
HCM 946	QUITCLAIM	Hereford	1305-06-01T00:00:00Z		1305,  Tuesday next after the Feast of the Ascension of our Lord [June 1].		Hereford		1305, Tuesday next after the Feast of the Ascension of our Lord [June 1]., QUITCLAIM
HCM 97	GRANT in fee-farm	Hereford	1337-06-11T00:00:00Z		1337,  Wednesday the Feast of St,  Barnabas the Apostle jJune 11		Hereford	???|this record has OCR'ed only the second half of HCM 97, which runs across pp. 910-911;, bad OCR for continued? partial doc?, 1337, June 25	HCM 97, gont'a., 1337, Wednesday the Feast of St, Barnabas the Apostle jJune 11, GRAN? in fee-farm, 1537, Wednesday next after the Feast of the Nativity of St. John the Baptist ‘Sune 25, GRANT
HCM 99	GRANT in fee-farm	Hereford	1337-06-25T00:00:00Z		1337. Wednesday next after the Feast of the   Nativity of St. John the Baptist [June 25).		Hereford		1337. Wednesday next after the Feast of the   Nativity of St. John the Baptist [June 25)., GRANT in fee-farm
RBLR 0201		Hereford	1302-12-31T00:00:00Z		1302.12.31< [*]		Hereford	before	1302.12.31< [*]
RBLR 0501	GRANT	Hereford	1305-01-01T00:00:00Z	1305-12-31T00:00:00Z	1305 [*]		Hereford		1305 [*], GRANT
RBLR 0701			1307-11-13T00:00:00Z		1307.11.13			no text except date	RBLR 0701, 1307.11.13
RBLR 0801	GRANT	Hereford	1308-01-01T00:00:00Z	1309-12-31T00:00:00Z	1308-1309 [*]	1308-1309	Hereford		1308-1309 [*], GRANT
RBLR 0802	GRANT	Hereford	1308-10-21T00:00:00Z		1308.10.21		Hereford		1308.10.21, GRANT
RBLR 0901		Hereford	1309-07-02T00:00:00Z		1309.7.2		Hereford		1309.7.2
RBLR 0902		Hereford	1309-10-07T00:00:00Z		1309.10.7		Hereford		1309.10.7
RBLR 0903		Hereford	1309-10-07T00:00:00Z		1309.10.7		Hereford		1309.10.7
RBLR 0904		Hereford	1309-10-07T00:00:00Z		1309.10.7		Hereford		1309.10.7
RBLR 0905		Hereford	1309-10-07T00:00:00Z		1309.10.7		Hereford		1309.10.7
RBLR 0906		Hereford	1309-11-04T00:00:00Z		1309.11.4, 1309.11.4		Hereford	OCR text appears incomplete	RBLR 0906, 1309.11.4, 1309.11.4
RBLR 0907	QUITCLAIM	Hereford	1309-12-06T00:00:00Z		1309.12.6		Hereford		1309.12.6, QUITCLAIM
RBLR 1001	CONDITION	Hereford	1310-06-13T00:00:00Z		1310.6.13		Hereford		1310.6.13, CONDITION
RBLR 1101	INDULGENCE	Hereford	1311-01-12T00:00:00Z		1311.1.12		Hereford		1311.1.12, INDULGENCE
RBLR 1102		Hereford	1311-04-13T00:00:00Z		1311.4.13		Hereford		1311.4.13
RBLR 1103	RELEASE	Hereford	1311-04-25T00:00:00Z		1311.4.25		Hereford		1311.4.25, RELEASE
RBLR 1104		Hereford	1311-06-21T00:00:00Z		1311.6.21		Hereford		1311.6.21
RBLR 1105		Hereford	1311-06-21T00:00:00Z		1311.6.21		Hereford		1311.6.21
RBLR 1106	RELEASE	Hereford	1311-06-28T00:00:00Z		1311.6.28		Hereford		1311.6.28, RELEASE
RBLR 1107	RELEASE	Hereford	1311-09-29T00:00:00Z		1311.9.29		Hereford		1311.9.29, RELEASE
RBLR 1201	RELEASE	Hereford	1312-02-17T00:00:00Z		1312.2.17		Hereford		1312.2.17, RELEASE
RBLR 1301	Institutions and Collations	Monnington	1313-01-19T00:00:00Z		1313.1.19		Monnington		1313.1.19, Institutions and Collations
RBLR 1302	License of Non-residence for Study		1313-07-12T00:00:00Z		1313.7.12				1313.7.12, License of Non-residence for Study
RBLR 1303	GRANT	Breynton	1313-10-23T00:00:00Z		1313.10.23		Breynton		1313.10.23, GRANT
RBLR 1304	RECEIPT	Hereford	1313-11-26T00:00:00Z		1313.11.26		Hereford		1313.11.26, RECEIPT
RBLR 1304-em	indenture		1313-11-26T00:00:00Z		1313.11.26			(Embedded document)|Date of embedded doc not given but BEFORE 1313.11.26, so use <1313.11.26 (i.e. less than or earlier than date of main doc), (embedded doc)	1313.11.26, indenture
RBLR 1401	LEASE	Hereford	1314-06-01T00:00:00Z		1314.6.1		Hereford		1314.6.1, LEASE
RBLR 1402	AGREEMENT	Hereford	1314-06-01T00:00:00Z		1314.6.1		Hereford		1314.6.1, AGREEMENT
RBLR 1403	GRANT	Hereford	1314-06-01T00:00:00Z		1314.6.1		Hereford		1314.6.1, GRANT
RBLR 1404	GRANT	Hereford	1314-12-26T00:00:00Z		1314.12.26		Hereford		1314.12.26, GRANT,
RBLR 1501	Commission	Bosebury	1315-04-19T00:00:00Z		1315.4.19		Bosebury		1315.4.19, Commission
RBLR 1601	GRANT	Breynton	1316-02-21T00:00:00Z		1316.2.21		Breynton		1316.2.21, GRANT
RBLR 1602	DUPLICATE		1316-02-21T00:00:00Z		1316.2.21				1316.2.21, DUPLICATE
RBLR 1603	GRANT	Breynton	1316-04-04T00:00:00Z		1316.4.4		Breynton		1316.4.4, GRANT
RBLR 1604	AGREEMENT	Hereford	1316-04-04T00:00:00Z		1316.4.4		Hereford		1316.4.4, AGREEMENT
RBLR 1605	Confessio et correccio	Bosebury	1316-05-16T00:00:00Z		1316.5.16		Bosebury	Confession and correction	1316.5.16, Confessio et correccio
RBLR 1606		Hereford	1316-05-26T00:00:00Z		1316.5.26		Hereford	person, place, office, endorsement by?	1316.5.26, Coram R'
RBLR 1607	AGREEMENT	Westminster	1316-10-20T00:00:00Z		1316.10.20		Westminster		1316.10.20, Agreement:
RBLR 1608	FINAL CONCORD	Chirchebreynton'	1316-10-20T00:00:00Z		1316.10.20		Chirchebreynton'		1316.10.20, FINAL CONCORD
RBLR 1701	RECEIPT	chapter-house at London	1317-04-16T00:00:00Z		1317.4.16		chapter-house at London		1317.4.16, RECEIPT
RBLR 1702	RECEIPT	Hereford	1317-04-26T00:00:00Z		1317.4.26		Hereford		1317.4.26, RECEIPT
RBLR 1703	RECEIPT	Hereford	1317-04-28T00:00:00Z		1317.4.28		Hereford		1317.4.28, RECEIPT
RBLR 1704	RECEIPT	chapter-house of Acornebury	1317-04-28T00:00:00Z		1317.4.28		chapter-house of Acornebury		1317.4.28, RECEIPT
RBLR 1705	RECEIPT	Hereford	1317-04-30T00:00:00Z		1317.4.30		Hereford		1317.4.30, RECEIPT
RBLR 1706	RECEIPT	Hereford	1317-04-30T00:00:00Z		1317.4.30		Hereford		1317.4.30, RECEIPT
RBLR 1707	from	Hereford	1317-04-30T00:00:00Z		1317.4.30		Hereford	RECEIPT	1317.4.30, from
RBLR 1708	RECEIPT	Hereford	1317-04-30T00:00:00Z		1317.4.30		Hereford		1317.4.30, RECEIPT
RBLR 1709	RECEIPT	Acornebur'	1317-04-30T00:00:00Z		1317.4.30		Acornebur'		1317.4.30, RECEIPT
RBLR 1710	RECEIPT	Hereford	1317-05-02T00:00:00Z		1317.5.2		Hereford		1317.5.2, RECEIPT
RBLR 1711	QUITTANCE	Ledbury	1317-05-03T00:00:00Z		1317.5.3		Ledbury		1317.5.3, QUITTANCE
